cleaned_review,rude
im not a huge mcds lover but ive been to better ones this is by far the worst one ive ever been too its filthy inside and if you get drive through they completely screw up your order every time the staff is terribly unfriendly and nobody seems to care,1
terrible customer service   came in at pm and stood in front of the register and no one bothered to say anything or help me for  minutes î¾there was no one else waiting for their food inside either just outside at the window î¾ i left and went to chickfila next door and was greeted before i was all the way inside this mcdonalds is also dirty the floor was covered with dropped food obviously filled with surly and unhappy workers,1
first they lost my order actually they gave it to someone one else than took  minutes to figure out why i was still waiting for my orderthey after i was asked what i needed i replied my orderthey asked for my ticket and the asst mgr looked at the ticket then incompletely filled iti had to ask her to check to see if she filled it correctlyshe acted as if she couldnt be bothered with that so i asked her againshe begrudgingly checked to she did in fact miss something on the ticketso after  minutes i finally had my breakfast biscuit platteras i left an woman approached and identified herself as the manager she was dressed as if she had just awoken in an old tshirt and sweat pantsshe said she had heard what happened and said shed take care of itwell why didnt she intervene when she saw i was growing annoyed with the incompetence,0
i see im not the only one giving  star only because there is not a  star thats all i need to say,0
well its mcdonalds so you know what the food is î¾this review reflects solely on the poor service   have been to this location countless times over the years î¾they consistently fail on the service end of things î¾the order takers tend to be rude no smiles and a lot of sighs and lip smacking when you talk to them î¾so why go back you ask this store benefits from being the only place to eat in this area î¾the next stop is at least  minutes away on the other side of town î¾also i strongly believe in nd chances and know that not every business can satisfy everyone  of the time   have given them many chances at earning a positive review   could not recommend this location any less  f you can wait take a pass î¾there are better mcdonalds stores in griffin ga,1
this has to be one of the worst and slowest mcdonalds franchises there is cant figure out why my egg mcmuffin is always on a stale untoasted english muffin bought a chocolate shake today and threw it away,0
im not crazy about this mcdonalds î¾this is primarily because they are so slow î¾my gosh what exactly is the hold up  ts fast food people î¾also this morning i guess the worker thought his mic was off but it wasnt   now know that he is trying to get as many hours as possible because he needs money bad î¾spread the word î¾anyway this location is on a little access road î¾and you have to go back the way you came because there is no exit from it at the other end  t would have helped if there was one î¾so in the end i think ill avoid this location and find another î¾this should be easy as there is no shortage of mickey ds in this piece,0
one star and im beng kind i blame management last day of free coffee so we decide to stop and order breakfast and coffees thru drivethru she charged us for coffee and when asked why she said she needed to confirm there were two of us in the car now she has to clear the order and that took retraining ask next time at tthe speakeroh it gets betterwe get to next window where einstein is waiting pours the coffees with different creamssugars added which one is which i asked and he smiled and said one has  cream  sugar and the other has  cream  sugar didnt maek the cups but at least he made sure we had straws for our coffees hello management where are you,1
never been upset about any fast food drive thru service till i came to this mcdonaldsafter a long trip from california my wife and i went to mcdonalds for a quick bite to eat before our drive back home we pull up to the drive thru but there are a lot of cars waiting to order we were guessing there must be a lot demand for mcdonalds at this late hour so we wait about    minutes for our turn to order we order the specials they were having at that time  pcs chicken nuggets for  and asked for a cup of water because we didnt want to drink any sodas at that late hour they take our order but tells us they dont serve cups of water there so we are a little annoyed but ok we shrug it off and wait our turn to pay and receive our order however we wait for almost another  min to finally pay at the first window  then another  more min to finally receive our food by far the worst mcdonalds in the world unfriendly and slow,1
this mcdonalds has gotten much better usually my order would be wrong every single time so i would not leave that window until i checked every single item i only hit up fast food once a month or so and it needs to be worth it also the fries used to be cold and the cheese on the burger was never melted everything was just lukewarm now my order has been right a few times in a row and my food hot also i love dining room usually you wouldnt find me actually inside a fast food joint but this place has nice flooring stacked stone lots of large windows and a flat screen tv usually on hln sometimes its nice to sneak away for a quick weekend breakfast you know a little budget and time friendly mommy and me date,0
lets start here only reason i came into mcdonalds waste time till girlfriend flight arrives and î¾for my duaghters i dont eat fast food ordered two happy meals slow service while ordering my food î¾a guy ask the cashier two use his cell in the middle of my order that was strike one then give me little boy toys knowing i have twin girls stabding right in front of him im glad i will never have to return here i live way in sandy springs i can see the difference between service and the staff the building it self is brand new change your staff this is blackmac not mcdonalds im black myself but telling the truth,0
other businesses throughout metro atlanta opened their doors to stranded motorists during the jan  snow storm this mcdonalds on camp creek parkway told î¾a group of senior citizens who were on the way home from an outing that they had to leave their restaurant î¾all they cared about was the dollar î¾after they got that they were done with them î¾too bad they couldnt have made it down the street to wendys or chic fil a and other restaurants,1
the drive thru makes them lost a star since my last reviewthis is one of those two lane drive thrus and i know that the function of that is so that the orders are not messed up when you get to the window but almost everytime the cashier ends up asking me what did i order   inquired about that before and was told that when someone drives off that messes up the orderwell i guess theres no controlling drive off and at least i know my order has been confirmed so it should be right by the time i get to the second windowthis mcdonalds also has a late night drive thru thur  sat it use to be a  hour on those days but i dont think it is any longer one of my biggest pet peeves is that the drive thru staff has no smile in their voice when you are ordering food from the luxury of your vehicle you want to think that the person in charge of taking your order is in good spirits but not at this location,1
believe it or not this used to be q really good mcdonalds the drive throuh is so slow it is frustrating but the service is always friendly food is normally luke warm my niece likes the toys from mcdonalds i wonder if i pull up to the window and say let me just get the toy woulf service be faster,0
as the previous yelpers have already stated this place is pretty slow the food is usually cold and the serviceyeah you guessed it poor,1
 minutes in drive through line gunshots from the apartments behind î¾worst mcdonalds ever,0
super slow service foods terrible like its been sitting and then reheated î¾everything is out napkins iced tea,0
slowslowslow î¾dont go here if you have a flight to catchor a life to live  f youre hungry wait until you get to the airport î¾this particular mcdonalds is just not worth your time,0
on your way to the airport or just cruising down camp creek pkwy î¾are you absolutely in love with mcdonalds sweet tea well then dont ever go through this drive thru î¾hands down this is the slowest mcdonalds drive thru ive experienced in atlanta î¾considering this location is close to the airport it would be great if they could simply improve the quality of service î¾as a lover of sweet tea i was completely turned off by this location when i overheard the drive thru operator joking about how sweet it was a few years ago î¾she told a few of her associates that it was like syrup and liquid diabetes by the time i took my first and only sip i was on i headed to perimeter mall and it tasted like cold syrup î¾thank goodness for the mcdonalds near perimeter mall because they refilled my drink so the moral to the story is if youre on camp creek pkwy near the airport bypass mcdonalds and head for chickfila eatmorechicken,0
